Source,Target
201533182D,Children/Youth
202114475W,Children/Youth
198101792R,General Charitable Purposes
201532966C,Children/Youth
S64SS0007C,General Charitable Purposes
T00CC1413E,Christianity
S98SS0160D,Christianity
T02SS0216C,Christianity
T22SS0042C,Community
202234211H,Mental Health
201506898W,Community
201136583G,Disability (Children)
200802928D,Theatre & Dramatic Arts
T05SS0233G,Children/Youth
S99SS0114A,Buddhism
T10CC0001A,Local Educational Institutions/Funds
200405080R,Local Educational Institutions/Funds
201831810M,Historical & Cultural Conservation
S87SS0098K,Christianity
T00SS0128K,Christianity
201010093H,Children/Youth
201302444Z,General Charitable Purposes
S97SS0032G,Children/Youth
S90SS0053L,Christianity
S82SS0014E,Taoism
S91CC0782K,South West
S65SS0020B,Hinduism
S94SS0157F,Taoism
S95SS0149J,Buddhism
T03SS0164F,Taoism
T07SS0165L,Christianity
S89SS0028G,Christianity
T05SS0032G,Christianity
S73SS0004B,Islam
S99SS0129H,Buddhism
T02CC1588K,Central
201313718D,General Charitable Purposes
197700527M,Christianity
S96SS0149C,Christianity
T08SS0100F,NSAs
S87CC0485H,Christianity
S99SS0140K,Buddhism
S93SS0013F,Taoism
S99SS0053A,Christianity
S61SS0148F,Christianity
198000750D,Christianity
S94SS0014G,Christianity
S98SS0011F,Christianity
198400544Z,Christianity
198204059M,Christianity
201938702E,Community
202118099N,Children/Youth
S95SS0117B,Christianity
T06SS0151F,Christianity
S89SS0048F,Christianity
201201657N,General Charitable Purposes
T00CC1425B,Buddhism
S81SS0035F,Taoism
S93SS0067D,Christianity
201314600E,Community
S75SS0053H,Christianity
S92SS0026E,Taoism
S85SS0076J,Taoism
202027095H,Children/Youth
T02SS0162J,Christianity
201503391Z,Community
202030266N,Christianity
201303721C,Literary Arts
201329363K,Competitive Sports
T00SS0024B,Buddhism
S85CC0188B,Others
201132553D,"Professional, Contemporary & Ethnic Dance"
S99CC1387B,Central
S89CC0688K,South East
201133836K,Environment
T07SS0225D,Christianity
S85SS0018D,Family
S93SS0116G,Christianity
197900124H,Christianity
S64SS0017H,Christianity
T05SS0248C,Christianity
201719854W,Disability (Adult)
201610151M,Christianity
S61SS0157D,Christianity
198201011E,Christianity
S83CC0020C,Community
T08SS0123D,Children/Youth
S95SS0164F,Diseases/Illnessess Support Group
